"";"ID";"Host.Since";"City";"Neighbourhood.Group.Cleansed";"Latitude";"Longitude";"Zipcode";"Property.Type";"Room.Type";"Accommodates";"Bathrooms";"Bedrooms";"Beds";"Number.of.Reviews";"Review.Scores.Rating";"Reviews.per.Month";"Cancellation.Policy";"precio.total";"precio_m2_2017";"Wireless.Internet";"Kitchen";"Heating";"Essentials";"Washer";"TV";"Elevator.in.building";"Family.kid.friendly";"Iron";"Hair.dryer";"Air.conditioning";"Laptop.friendly.workspace";"Smoke.detector";"Wheelchair.accessible";"Lock.on.bedroom.door";"Free.parking.on.premises"
"8990";12791737;"6/4/16";"Madrid";"Centro";40,4064794279654;-3,70741667435346;28013;"Bed & Breakfast";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1
"8991";17521228;"28/7/15";"Madrid";"Centro";40,4107360116985;-3,70139335986332;28013;"Apartment";"Private room";2;1;1;1;1;100;1;"strict";40;3564;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1
"8992";17498031;"21/7/15";"Madrid";"Chamberi";40,4400573251804;-3,69827635069438;28010;"Apartment";"Private room";1;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3863;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1
"8993";11087060;"12/1/16";"Madrid";"San Blas - Canillejas";40,4470326691243;-3,58509678297713;28022;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;1982;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1
"8994";16169525;"23/12/15";"Madrid";"Retiro";40,4169383476173;-3,67642314587874;28007;"Apartment";"Private room";1;2;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3404;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1
"8995";340051;"9/2/12";"Madrid";"Tetuan";40,4531857138528;-3,6947164197414;28020;"Apartment";"Private room";2;0;1;2;108;95;1,79;"flexible";40;2629;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
"8996";13491442;"12/6/16";"Madrid";"Centro";40,4133207378113;-3,71362431361368;28013;"Apartment";"Entire home/apt";4;1;1;2;9;96;1,07;"flexible";40;3564;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1
"8997";6550986;"8/5/14";"Madrid";"Centro";40,4179065804868;-3,7122682373272;28013;"Apartment";"Private room";2;2;1;1;1;80;0,05;"strict";40;3564;0;0;0;1;0;1;0;1;1;1;1;0;1;1;0;1
"8998";8957968;"4/8/15";"Madrid";"Fuencarral - El Pardo";40,4793003441967;-3,72806467167795;28029;"Apartment";"Private room";1;1;1;1;1;100;0,21;"flexible";40;2711;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1
"8999";9892232;"2/12/15";"Madrid";"Centro";40,4104018236939;-3,70762762886318;28013;"Apartment";"Private room";1;1;1;1;3;80;0,19;"strict";40;3564;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1
"9000";3811399;"8/5/14";"Madrid";"Centro";40,4218891069689;-3,69983322173137;28013;"Apartment";"Private room";2;3;1;1;1;80;0,05;"strict";40;3564;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1
"9001";16424195;"8/8/13";"Madrid";"Centro";40,4151768644891;-3,70543418781202;28013;"Apartment";"Private room";2;1;2;1;1;91,6317014057198;0,27;"flexible";40;3564;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1
"9002";17783553;"7/10/14";"Madrid";"Centro";40,4165350142152;-3,70424312975946;28013;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"moderate";40;3564;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1
"9003";11482976;"26/2/15";"Madrid";"Chamberi";40,4297901610717;-3,69566569666464;28010;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3863;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1
"9004";16189028;"25/4/14";"Madrid";"Centro";40,4263689958065;-3,70827893059492;28013;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1
"9005";13657381;"1/6/16";"Madrid";"Centro";40,4212817930327;-3,70642964029846;28013;"House";"Entire home/apt";2;1;1;1;2;90;0,27;"moderate";40;3564;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1
"9006";747423;"19/10/12";"Madrid";"Puente de Vallecas";40,3837524990756;-3,64977969333603;28038;"House";"Private room";6;2;1;5;5;100;0,09;"flexible";40;1424;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1
"9007";12358350;"11/4/16";"Madrid";"Chamberi";40,439974414734;-3,70951778556243;28010;"Apartment";"Private room";1;1;1;1;2;100;0,19;"moderate";40;3863;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1
"9008";8777443;"8/8/15";"Madrid";"Chamberi";40,4345720865884;-3,71244759684889;28010;"Condominium";"Private room";2;1;1;2;1;100;0,06;"flexible";40;3863;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1
"9009";1020785;"25/3/13";"Madrid";"Chamberi";40,43275986834;-3,71408901091328;28010;"Apartment";"Private room";1;1;1;1;19;94;1,02;"moderate";40;3863;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1
"9010";8896193;"27/3/15";"Madrid";"Retiro";40,3993393972738;-3,6711839359292;28007;"Apartment";"Private room";2;2;1;1;12;97;1,07;"flexible";40;3404;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1
"9011";13818123;"30/5/15";"Madrid";"Centro";40,4202466911484;-3,69983990945973;28013;"Apartment";"Private room";4;4,5;1;2;1;80;0,23;"flexible";40;3564;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
"9012";3811554;"8/5/14";"Madrid";"Centro";40,4232384698806;-3,69984726926185;28013;"Apartment";"Private room";2;3;1;1;1;80;0,05;"strict";40;3564;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1
"9013";8114712;"20/8/15";"Madrid";"Centro";40,4109163299595;-3,70718589407052;28013;"Apartment";"Private room";2;2;1;2;35;96;1,86;"moderate";40;3564;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"9014";6721589;"7/6/15";"Madrid";"Centro";40,4090620527526;-3,70614094269221;28013;"Apartment";"Entire home/apt";3;1;1;2;1;91,6317014057198;0,05;"flexible";40;3564;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1
"9015";3811649;"8/5/14";"Madrid";"Centro";40,4215718275303;-3,69991984672814;28013;"Apartment";"Private room";2;3;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1
"9016";12016352;"15/2/16";"Madrid";"Centro";40,4107698391797;-3,70094016736846;28013;"Apartment";"Private room";2;1;1;1;22;89;1,75;"flexible";40;3564;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
"9017";9481901;"25/2/15";"Madrid";"Centro";40,4170772491318;-3,6998407815826;28013;"Apartment";"Private room";4;1,5;1;2;79;92;5,15;"moderate";40;3564;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1
"9018";4155781;"3/11/13";"Madrid";"Puente de Vallecas";40,3871452098493;-3,66542845902227;28038;"Apartment";"Entire home/apt";3;1;1;1;4;90;0,17;"flexible";40;1424;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1
"9019";10539504;"12/1/16";"Madrid";"Tetuan";40,4572034728708;-3,69394890961022;28020;"Bed & Breakfast";"Private room";1;1;1;1;12;95;1;"flexible";40;2629;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1
"9020";9296334;"5/11/15";"Madrid";"Chamberi";40,4284772609759;-3,69376700087223;28010;"Apartment";"Private room";1;1;1;1;1;100;0,06;"flexible";40;3863;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1
"9021";4684786;"26/11/14";"Madrid";"Hortaleza";40,4676669082942;-3,63370339311101;28043;"Apartment";"Private room";2;1;1;2;1;100;0,04;"flexible";40;2563;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1
"9022";8203469;"3/9/15";"Madrid";"Moncloa - Aravaca";40,4241771872496;-3,72483764951948;28008;"Apartment";"Private room";2;1;1;1;4;80;0,21;"flexible";40;3029;0;1;0;0;1;0;1;1;1;0;1;0;1;1;1;1
"9023";689099;"24/8/12";"Madrid";"Ciudad Lineal";40,475460016922;-3,67266650941861;28037;"Apartment";"Private room";1;2;1;1;12;91;0,22;"flexible";40;2302;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1
"9024";17152638;"7/2/17";"Madrid";"Hortaleza";40,4614324458431;-3,62778636326949;28043;"Apartment";"Private room";2;1;1;1;2;100;2;"flexible";40;2563;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1
"9025";9982683;"8/11/14";"Madrid";"Centro";40,4216268096979;-3,70242106741379;28013;"Apartment";"Private room";2;2;1;1;70;95;4,51;"flexible";40;3564;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1
"9026";545782;"19/6/12";"Madrid";"Tetuan";40,4557324822385;-3,69528095225416;28020;"Bed & Breakfast";"Private room";2;1;1;1;43;89;1,1;"flexible";40;2629;0;0;0;1;0;0;0;1;1;1;1;1;1;0;1;1
"9027";8998398;"30/9/11";"Madrid";"Chamberi";40,4305254095338;-3,70302695944579;28010;"Apartment";"Private room";2;1;1;1;2;80;0,12;"flexible";40;3863;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1
"9028";12888827;"5/5/16";"Madrid";"Centro";40,4087397023748;-3,69516325375015;28013;"Apartment";"Private room";1;1;1;1;10;100;0,93;"flexible";40;3564;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1
"9029";3816282;"22/5/13";"Madrid";"Centro";40,4100196097399;-3,71207445487813;28013;"Apartment";"Private room";2;1;1;1;112;96;4,57;"flexible";40;3564;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1
"9030";3861227;"8/5/14";"Madrid";"Centro";40,4139415832182;-3,7051165216833;28013;"Apartment";"Private room";2;1;1;1;1;60;0,05;"strict";40;3564;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1
"9031";16935512;"25/1/17";"Madrid";"Hortaleza";40,4632491724143;-3,64502569661108;28043;"Bed & Breakfast";"Entire home/apt";4;2;2;2;1;100;0,61;"flexible";40;2563;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
