ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
7740638;04/10/2013;Centro;Madrid;"40,41906037";"-3,7124179";28013;Apartment;Entire home/apt;6;3;3;3;7;94;"0,43";strict;970;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
13898710;11/11/2014;Centro;Madrid;"40,4199117";"-3,709450909";28013;Apartment;Entire home/apt;10;"4,5";5;8;18;100;"2,09";moderate;970;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
17146531;07/02/2017;Arganzuela;Madrid;"40,40176047";"-3,700928823";28012;Apartment;Entire home/apt;2;2;1;1;0;"91,60293384";"1,935054739";flexible;968;3046;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
4208724;10/06/2010;Chamberí;Madrid;"40,43736393";"-3,702289573";28010;Apartment;Entire home/apt;6;1;2;3;33;96;"1,12";flexible;952;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
7870142;15/02/2014;Centro;Madrid;"40,42640251";"-3,711410033";28015;Apartment;Entire home/apt;4;"2,5";2;2;0;"91,60293384";"1,935054739";strict;950;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
17243915;19/01/2017;Centro;Madrid;"40,41871187";"-3,700974932";28013;Apartment;Entire home/apt;8;4;4;7;6;100;6;strict;940;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
17167606;20/02/2015;Centro;Madrid;"40,42409501";"-3,696633673";28004;Apartment;Entire home/apt;4;2;2;3;1;100;"0,75";strict;940;3564;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
17165948;20/02/2015;Centro;Madrid;"40,42642861";"-3,703507065";28004;Apartment;Entire home/apt;4;1;2;3;1;100;"0,73";strict;930;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
177323;31/01/2010;Salamanca;Madrid;"40,43185613";"-3,685074057";28006;Apartment;Entire home/apt;7;2;3;6;0;"91,60293384";"1,935054739";moderate;930;3935;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
6533726;27/04/2015;Salamanca;Madrid;"40,43682387";"-3,685400022";28006;Apartment;Entire home/apt;3;1;2;2;0;"91,60293384";"1,935054739";strict;930;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
